Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IVVB11,02/01/2020,139.51,140.60,139.10,140.60,ISHARE SP500
IVVB11,03/01/2020,140.40,141.17,140.00,140.70,ISHARE SP500
IVVB11,06/01/2020,140.54,141.46,140.03,141.20,ISHARE SP500
IVVB11,07/01/2020,141.61,142.08,140.75,141.30,ISHARE SP500
IVVB11,08/01/2020,141.30,142.00,141.01,141.55,ISHARE SP500
IVVB11,09/01/2020,142.00,143.50,141.59,143.40,ISHARE SP500
IVVB11,10/01/2020,143.39,143.61,142.83,143.35,ISHARE SP500
IVVB11,13/01/2020,144.00,146.05,144.00,146.05,ISHARE SP500
IVVB11,14/01/2020,146.14,146.84,145.00,145.44,ISHARE SP500
IVVB11,15/01/2020,146.01,147.81,146.01,147.50,ISHARE SP500
IVVB11,16/01/2020,147.94,149.70,147.50,148.86,ISHARE SP500
IVVB11,17/01/2020,148.86,149.53,148.21,148.55,ISHARE SP500
IVVB11,20/01/2020,149.29,150.80,149.02,150.70,ISHARE SP500
IVVB11,21/01/2020,150.65,154.00,149.25,150.03,ISHARE SP500
IVVB11,22/01/2020,150.29,150.70,148.77,148.99,ISHARE SP500
IVVB11,23/01/2020,148.96,148.96,147.50,148.75,ISHARE SP500
IVVB11,24/01/2020,149.24,149.95,147.35,147.82,ISHARE SP500
IVVB11,27/01/2020,147.49,147.82,146.00,146.06,ISHARE SP500
IVVB11,28/01/2020,146.50,148.16,146.16,147.00,ISHARE SP500
IVVB11,29/01/2020,147.50,149.09,146.60,149.00,ISHARE SP500
IVVB11,30/01/2020,148.49,149.89,148.00,149.89,ISHARE SP500
IVVB11,31/01/2020,149.88,150.49,147.90,148.10,ISHARE SP500
IVVB11,03/02/2020,148.60,149.98,146.32,147.97,ISHARE SP500
IVVB11,04/02/2020,148.77,150.93,148.77,150.60,ISHARE SP500
IVVB11,05/02/2020,151.02,152.79,151.02,151.50,ISHARE SP500
IVVB11,06/02/2020,151.99,153.78,151.80,153.50,ISHARE SP500
IVVB11,07/02/2020,153.55,154.90,153.51,153.90,ISHARE SP500
IVVB11,10/02/2020,154.01,155.60,153.91,155.60,ISHARE SP500
IVVB11,11/02/2020,155.71,156.99,155.60,156.15,ISHARE SP500
IVVB11,12/02/2020,157.00,157.89,156.56,157.50,ISHARE SP500
IVVB11,13/02/2020,158.00,158.35,155.88,157.70,ISHARE SP500
IVVB11,14/02/2020,157.70,157.99,155.43,155.67,ISHARE SP500
IVVB11,17/02/2020,156.90,158.99,156.30,158.98,ISHARE SP500
IVVB11,18/02/2020,157.85,159.49,156.75,157.76,ISHARE SP500
IVVB11,19/02/2020,158.50,159.23,157.76,158.65,ISHARE SP500
IVVB11,20/02/2020,158.87,159.82,157.56,158.90,ISHARE SP500
IVVB11,21/02/2020,158.67,160.00,156.64,157.25,ISHARE SP500
IVVB11,26/02/2020,151.50,151.50,148.02,148.02,ISHARE SP500
IVVB11,27/02/2020,146.20,148.40,143.75,143.75,ISHARE SP500
IVVB11,28/02/2020,142.50,142.61,138.23,141.56,ISHARE SP500
IVVB11,02/03/2020,141.80,148.63,141.56,148.63,ISHARE SP500
IVVB11,03/03/2020,149.00,150.67,144.46,145.40,ISHARE SP500
IVVB11,04/03/2020,148.68,154.00,147.79,154.00,ISHARE SP500
IVVB11,05/03/2020,152.49,153.89,149.39,150.05,ISHARE SP500
IVVB11,06/03/2020,146.18,147.88,144.36,147.72,ISHARE SP500
IVVB11,09/03/2020,142.72,144.39,138.80,138.80,ISHARE SP500
IVVB11,10/03/2020,142.97,145.93,137.40,144.00,ISHARE SP500
IVVB11,11/03/2020,140.89,141.59,137.55,139.15,ISHARE SP500
IVVB11,12/03/2020,135.20,135.20,127.00,127.00,ISHARE SP500
IVVB11,13/03/2020,132.18,140.05,127.70,140.05,ISHARE SP500
IVVB11,16/03/2020,129.74,137.00,127.70,129.22,ISHARE SP500
IVVB11,17/03/2020,131.01,137.66,128.89,136.50,ISHARE SP500
IVVB11,18/03/2020,133.88,136.90,127.16,133.50,ISHARE SP500
IVVB11,19/03/2020,131.94,135.91,128.04,131.25,ISHARE SP500
IVVB11,20/03/2020,133.00,135.00,124.04,125.00,ISHARE SP500
IVVB11,23/03/2020,127.00,128.09,120.66,124.00,ISHARE SP500
IVVB11,24/03/2020,128.21,135.00,128.21,135.00,ISHARE SP500
IVVB11,25/03/2020,134.30,137.68,131.48,134.15,ISHARE SP500
IVVB11,26/03/2020,133.75,141.15,132.79,141.15,ISHARE SP500
IVVB11,27/03/2020,139.40,141.90,138.14,139.40,ISHARE SP500
IVVB11,30/03/2020,141.06,149.21,141.00,146.00,ISHARE SP500
IVVB11,31/03/2020,145.00,146.86,141.00,144.62,ISHARE SP500
IVVB11,01/04/2020,141.99,143.00,138.32,140.50,ISHARE SP500
IVVB11,02/04/2020,140.51,143.50,139.00,143.50,ISHARE SP500
IVVB11,03/04/2020,142.99,144.50,140.52,143.50,ISHARE SP500
IVVB11,06/04/2020,146.01,152.00,145.70,150.80,ISHARE SP500
IVVB11,07/04/2020,153.60,154.50,149.12,149.65,ISHARE SP500
IVVB11,08/04/2020,150.51,152.40,149.70,151.80,ISHARE SP500
IVVB11,09/04/2020,152.10,153.40,151.20,152.72,ISHARE SP500
IVVB11,13/04/2020,152.73,154.47,152.16,153.98,ISHARE SP500
IVVB11,14/04/2020,155.14,159.00,155.14,158.55,ISHARE SP500
IVVB11,15/04/2020,157.77,157.77,155.91,157.05,ISHARE SP500
IVVB11,16/04/2020,157.55,160.85,155.88,160.85,ISHARE SP500
IVVB11,17/04/2020,161.79,162.60,159.92,162.10,ISHARE SP500
IVVB11,20/04/2020,159.01,163.27,159.01,161.20,ISHARE SP500
IVVB11,22/04/2020,160.30,163.54,160.24,163.10,ISHARE SP500
IVVB11,23/04/2020,163.90,169.75,163.53,166.52,ISHARE SP500
IVVB11,24/04/2020,168.72,174.50,168.72,172.65,ISHARE SP500
IVVB11,27/04/2020,174.00,177.34,172.70,174.97,ISHARE SP500
IVVB11,28/04/2020,176.00,176.50,169.51,170.15,ISHARE SP500
IVVB11,29/04/2020,170.82,173.25,168.60,168.80,ISHARE SP500
IVVB11,30/04/2020,169.50,171.99,169.00,170.50,ISHARE SP500
IVVB11,04/05/2020,169.48,170.00,167.22,169.20,ISHARE SP500
IVVB11,05/05/2020,170.48,173.90,170.30,172.24,ISHARE SP500
IVVB11,06/05/2020,174.00,176.00,174.00,174.65,ISHARE SP500
IVVB11,07/05/2020,180.00,183.00,179.61,183.00,ISHARE SP500
