Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EGIE3,02/01/2020,51.00,52.33,50.82,52.00,ENGIE BRASIL
EGIE3,03/01/2020,51.37,52.92,51.11,52.30,ENGIE BRASIL
EGIE3,06/01/2020,52.39,52.63,51.50,51.86,ENGIE BRASIL
EGIE3,07/01/2020,51.50,52.22,50.61,51.97,ENGIE BRASIL
EGIE3,08/01/2020,52.10,52.24,51.18,51.45,ENGIE BRASIL
EGIE3,09/01/2020,51.45,51.96,51.15,51.60,ENGIE BRASIL
EGIE3,10/01/2020,52.00,52.73,51.64,52.37,ENGIE BRASIL
EGIE3,13/01/2020,52.39,53.69,52.39,53.36,ENGIE BRASIL
EGIE3,14/01/2020,53.57,54.10,53.04,54.10,ENGIE BRASIL
EGIE3,15/01/2020,54.10,54.10,53.32,53.45,ENGIE BRASIL
EGIE3,16/01/2020,53.50,53.65,52.71,53.09,ENGIE BRASIL
EGIE3,17/01/2020,53.12,53.43,52.73,53.43,ENGIE BRASIL
EGIE3,20/01/2020,53.43,53.93,53.25,53.40,ENGIE BRASIL
EGIE3,21/01/2020,53.10,54.23,52.96,53.60,ENGIE BRASIL
EGIE3,22/01/2020,53.81,54.33,52.85,53.61,ENGIE BRASIL
EGIE3,23/01/2020,53.61,53.63,52.79,53.60,ENGIE BRASIL
EGIE3,24/01/2020,53.81,54.04,53.25,53.87,ENGIE BRASIL
EGIE3,27/01/2020,53.50,53.62,52.43,52.82,ENGIE BRASIL
EGIE3,28/01/2020,53.03,53.60,52.54,53.49,ENGIE BRASIL
EGIE3,29/01/2020,53.70,53.82,52.90,53.02,ENGIE BRASIL
EGIE3,30/01/2020,52.82,53.00,51.36,52.50,ENGIE BRASIL
EGIE3,31/01/2020,52.48,52.48,51.31,52.05,ENGIE BRASIL
EGIE3,03/02/2020,52.13,52.99,51.76,52.60,ENGIE BRASIL
EGIE3,04/02/2020,53.36,53.51,52.50,52.85,ENGIE BRASIL
EGIE3,05/02/2020,53.50,53.65,52.61,52.80,ENGIE BRASIL
EGIE3,06/02/2020,53.01,53.65,51.35,51.81,ENGIE BRASIL
EGIE3,07/02/2020,51.81,51.82,49.65,50.32,ENGIE BRASIL
EGIE3,10/02/2020,50.13,50.68,49.70,49.93,ENGIE BRASIL
EGIE3,11/02/2020,50.13,50.87,50.00,50.87,ENGIE BRASIL
EGIE3,12/02/2020,51.07,52.14,50.50,50.80,ENGIE BRASIL
EGIE3,13/02/2020,50.60,50.87,50.10,50.35,ENGIE BRASIL
EGIE3,14/02/2020,50.35,50.54,49.81,50.20,ENGIE BRASIL
EGIE3,17/02/2020,50.40,50.87,50.00,50.60,ENGIE BRASIL
EGIE3,18/02/2020,50.61,50.91,49.99,50.85,ENGIE BRASIL
EGIE3,19/02/2020,50.74,51.49,50.39,50.89,ENGIE BRASIL
EGIE3,20/02/2020,50.54,50.63,49.24,49.37,ENGIE BRASIL
EGIE3,21/02/2020,49.09,50.14,48.60,50.14,ENGIE BRASIL
EGIE3,26/02/2020,48.16,48.89,47.39,47.99,ENGIE BRASIL
EGIE3,27/02/2020,47.58,47.76,46.27,46.40,ENGIE BRASIL
EGIE3,28/02/2020,46.28,47.65,44.98,47.53,ENGIE BRASIL
EGIE3,02/03/2020,47.93,48.72,47.04,48.50,ENGIE BRASIL
EGIE3,03/03/2020,48.50,50.00,47.77,48.53,ENGIE BRASIL
EGIE3,04/03/2020,49.70,50.88,48.90,50.80,ENGIE BRASIL
EGIE3,05/03/2020,50.40,50.44,47.56,48.80,ENGIE BRASIL
EGIE3,06/03/2020,47.00,48.51,46.23,48.00,ENGIE BRASIL
EGIE3,09/03/2020,46.50,46.50,44.37,44.77,ENGIE BRASIL
EGIE3,10/03/2020,45.50,48.14,45.00,47.00,ENGIE BRASIL
EGIE3,11/03/2020,46.00,47.17,42.99,45.27,ENGIE BRASIL
EGIE3,12/03/2020,40.50,44.48,40.50,43.84,ENGIE BRASIL
EGIE3,13/03/2020,46.00,48.19,43.02,48.19,ENGIE BRASIL
EGIE3,16/03/2020,43.00,47.10,42.79,43.55,ENGIE BRASIL
EGIE3,17/03/2020,44.10,48.50,43.58,46.82,ENGIE BRASIL
EGIE3,18/03/2020,44.35,46.55,42.21,43.89,ENGIE BRASIL
EGIE3,19/03/2020,42.98,44.97,41.23,41.68,ENGIE BRASIL
EGIE3,20/03/2020,43.57,43.85,39.00,40.15,ENGIE BRASIL
EGIE3,23/03/2020,40.25,40.65,36.83,37.98,ENGIE BRASIL
EGIE3,24/03/2020,40.80,40.80,37.77,37.77,ENGIE BRASIL
EGIE3,25/03/2020,38.00,38.69,37.27,38.23,ENGIE BRASIL
EGIE3,26/03/2020,38.19,41.53,38.09,41.25,ENGIE BRASIL
EGIE3,27/03/2020,39.50,41.17,39.03,39.09,ENGIE BRASIL
